연도,연번,지역,직장어린이집명,소재지,전화번호,설치일(인가일)
2022,107,서울특별시,동대문구청직장어린이집,서울특별시 동대문구 고산자로28길 13 (용두동),02-6929-2601,2001-03-01
2022,108,서울특별시,동부법원어린이집,서울특별시 송파구 법원로 101 서울동부지방법원 2층,02-2204-2911,2017-02-20
2022,109,서울특별시,동원어린이집,서울특별시 강남구 개포로15길 29,02-2058-2190,2016-10-25
2022,110,서울특별시,동작구청어린이집,서울특별시 동작구 장승배기로 161 동작구청 47동 2층 2호(노량진동),02-820-1567,2009-02-17
2022,111,서울특별시,디앤오 강서어린이집(구.에스앤아이 강서어린이집),서울특별시 강서구 마곡중앙로 150 2층,02-2088-2021,2018-02-28
2022,112,서울특별시,라이나생명 키즈나루 어린이집,서울특별시 종로구 삼봉로 48 시그나 빌딩 2층,02-3779-8170,2020-03-01
2022,113,서울특별시,로카키즈어린이집,서울특별시 종로구 새문안로2길 10,02-739-8042,2021-04-01
2022,114,서울특별시,롯데mom편한어린이집(구로),"서울특별시 구로구 구일로8길 31 102동 105호(구로동,구로우성아파트)",02-6737-1722,2016-12-27
2022,115,서울특별시,롯데mom편한어린이집(송파),서울특별시 송파구 올림픽로35길 137 한국광고문화회관 5층 3호,02-420-1338,2016-03-31
2022,116,서울특별시,롯데mom편한어린이집(중구),"서울특별시 중구 회현동1가 소공로 35 남산롯데캐슬아이리스 210호, 211호",02-774-4498,2016-03-02
2022,117,서울특별시,롯데mom편한월드점어린이집,서울특별시 송파구 올림픽로 240 롯데월드 240 WB(3호),02-2143-1460,2016-08-02
2022,118,서울특별시,롯데건설어린이집,서울특별시 서초구 강남대로101안길 33,02-6959-5580,2015-02-23
2022,119,서울특별시,롯데백화점노원점어린이집,서울특별시 노원구 상계로9가길 9-1,070-4012-8045,2013-08-30
2022,120,서울특별시,롯데아이사랑어린이집,서울특별시 영등포구 양평동4가 선유로49길 30,070-4849-4493,2014-03-03
2022,121,서울특별시,롯데중앙연구소 mom편한 어린이집,서울특별시 강서구 마곡중앙로 201,02-6309-3148,2018-08-27
2022,122,서울특별시,롯데호텔어린이집,서울특별시 송파구 백제고분로45길 24 정명빌딩 1층 (송파동),02-3431-6110,2003-04-28
2022,123,서울특별시,리틀킹어린이집,서울특별시 강서구 공항대로 607,02-3660-8053,2011-03-11
2022,124,서울특별시,마곡코오롱어린이집,"서울특별시 강서구 마곡동로 110 1층 (마곡동, 코오롱미래기술원)",02-2199-1990,2018-02-27
2022,125,서울특별시,마리오아울렛어린이집,서울특별시 금천구 디지털로9길 23,02-2109-7285,2012-01-20
2022,126,서울특별시,마포구청 직장어린이집,서울특별시 마포구 월드컵로 212 마포구청 1층,02-302-8754,2005-02-28
2022,127,서울특별시,메리츠어린이집,서울특별시 영등포구 국제금융로2길 11,02-6464-3310,2014-04-04
2022,128,서울특별시,명동하나금융그룹직장어린이집,서울특별시 중구 을지로2가 을지로 66 하나금융그룹 명동사옥 2층,02-319-9606,2019-02-27
2022,129,서울특별시,모두의 숲 어린이집,서울특별시 성동구 상원6나길 22-7,02-463-0312,2020-04-27
2022,130,서울특별시,목동하나금융그룹 직장어린이집,서울특별시 양천구 목동동로 347 한국외환은행 목동지점 3층,02-2654-9108,2014-04-03
2022,131,서울특별시,무궁화어린이집,서울특별시 종로구 자하문로28길 8 외 1 (궁정동),02-730-2486,2016-02-22
2022,132,서울특별시,무역센터 꿈나무 어린이집,서울특별시 강남구 영동대로 513 컨벤션센터 2층,02-6000-8355,2007-02-27
2022,133,서울특별시,무지개어린이집,서울특별시 서초구 신흥말길 79-3,02 -2226-9377,2022-02-23
2022,134,서울특별시,미래나무어린이집,서울특별시 종로구 종로33길 15 (연지동),02-747-9557,2012-08-27
2022,135,서울특별시,미즈메디어린이집,서울특별시 강서구 우장산로4길 25 1004동 1층 101호,02-2659-1419,2016-07-27
2022,136,서울특별시,바로미어린이집,서울특별시 서초구 서초중앙로 157 서울법원종합청사별관 (서초동),02-530-2632,2002-10-15
2022,137,서울특별시,법무부 남부보라미어린이집,서울특별시 구로구 금오로 865 법무부 서울남부구치소내 체육관 1층,02-2611-1122,2012-08-29
2022,138,서울특별시,블랭크어린이집,서울특별시 강남구 선릉로93길 40 1층,02-6230-0100,2020-02-27
2022,139,서울특별시,사이언스파크어린이집,서울특별시 강서구 마곡중앙10로 30,02-6941-0302,2018-02-28
2022,140,서울특별시,삼성GEC어린이집,서울특별시 강동구 상일로6길 26,02-2053-6200,2012-04-20
2022,141,서울특별시,삼성SDS 꿈토란어린이집,서울특별시 마포구 월드컵북로60길 24 삼성SDS 상암IT센터 1층,02-6440-7170,2015-06-19
2022,142,서울특별시,삼성SDS더자람어린이집,서울특별시 송파구 올림픽로35길 123 3층,02-2152-7255,2013-04-26
2022,143,서울특별시,삼성물산강동어린이집,서울특별시 강동구 상일로6길 26 글로벌엔지니어링센터 B동 2층,02-481-9961,2018-03-27
2022,144,서울특별시,삼성서울병원 어린이집,서울특별시 강남구 광평로31길 66 (수서동),02-3411-9141,1995-04-03
2022,145,서울특별시,삼성서울병원2 어린이집,서울특별시 강남구 양재대로55길 12,02-3411-3140,2021-02-25
2022,146,서울특별시,삼성전자서울R&D캠퍼스어린이집,서울특별시 서초구 성촌길 67 삼성전자서울알앤디캠퍼스어린이집,02-6147-9801,2016-02-17
2022,147,서울특별시,삼양어린이집,서울특별시 종로구 종로33길 31,02-760-5081,2018-02-28
2022,148,서울특별시,삼육서울병원직장어린이집,서울특별시 동대문구 망우로 82,02-2210-3238,1995-05-11
2022,149,서울특별시,삼일어린이집,서울특별시 용산구 한강로2가 한강대로 95 래미안용산더센트럴 410호,02-794-8831,2018-04-25
2022,150,서울특별시,상계백병원어린이집,서울특별시 노원구 상계로12길 12-10 인성관1층 (상계동),02-950-4893,2005-03-08
2022,151,서울특별시,상명행복어린이집,서울특별시 종로구 홍지문2길 37,02-2287-5223,2016-02-15
2022,152,서울특별시,서대문구청직장어린이집,서울특별시 서대문구 홍제천로 182 (연희동),02-323-3360,2009-07-01
2022,153,서울특별시,서비스에이스 하람어린이집,서울특별시 영등포구 문래로28길 25 에스타워 3층(문래동3가),02-6256-0190,2020-03-16
2022,154,서울특별시,서소문삼성어린이집,"서울특별시 중구 을지로1가 을지로 19 2,3,5층 서소문삼성어린이집",02-757-5463,2003-02-25
2022,155,서울특별시,서울경찰청어린이집,서울특별시 종로구 사직로8길 31,02-720-8502,2016-08-26
2022,156,서울특별시,서울교통공사 어린이집,서울특별시 성동구 자동차시장길 22 인재개발원 1층,02-6110-8093,2017-09-27
2022,157,서울특별시,서울교통공사대공원어린이집,서울특별시 광진구 능동로 247-1 (군자동),02-6311-7979,2001-10-01
2022,158,서울특별시,서울금천경찰서어린이집,서울특별시 금천구 시흥대로73길 50,02 -806 -7234,2022-02-28
2022,159,서울특별시,서울남부지방법원 직장어린이집,서울특별시 양천구 신월로 386 별관 5층,02 -2192-1930,2020-06-24
2022,160,서울특별시,서울대학교병원어린이집,서울특별시 종로구 동숭3길 40,02-2072-2260,1995-03-01
2022,161,서울특별시,서울대학교어린이보육지원센터 느티나무어린이집,서울특별시 관악구 관악로 1 (봉천동) [낙성대동],02-880-5798,2011-07-22
2022,162,서울특별시,서울대학교어린이보육지원센터 백학어린이집,서울특별시 관악구 관악로 1 (봉천동) [낙성대동],02-880-5767,1998-03-04
2022,163,서울특별시,서울도봉경찰서어린이집,서울특별시 도봉구 노해로 403,02 -906 -8190,2020-08-31
2022,164,서울특별시,서울북부지방법원어린이집,서울특별시 도봉구 마들로 749 서울북부지방법원,02-910-3950,2016-03-24
2022,165,서울특별시,서울서부지방법원 어린이집,서울특별시 마포구 마포대로 199 4층,02-3271-9270,2019-02-14
2022,166,서울특별시,서울성모병원어린이집,서울특별시 서초구 반포대로 222 강남성모병원 내 별관 2층 어린이집 (반포동),02-2258-8180,1998-08-01
2022,167,서울특별시,서울세관 직장어린이집,서울특별시 강남구 언주로 721 서울세관 별관동 1층,02-510-1990,2017-06-22
2022,168,서울특별시,서울소방학교 직장어린이집,서울특별시 은평구 통일로 1031-21,02-351-7125,2020-02-20
2022,169,서울특별시,서울시농수산식품공사올본어린이집,서울특별시 송파구 양재대로 932 서울특별시농수산식품공사 3층,02-3435-1212,2016-02-26
2022,170,서울특별시,서울시립대학교직장어린이집,서울특별시 동대문구 서울특별시립대로 163 서울특별시립대학교직장어린이집,02-2213-9566,2018-03-01
2022,171,서울특별시,서울시설공단 누비어린이집,서울특별시 성동구 왕십리로26길 29,02-2298-2800,2017-04-26
2022,172,서울특별시,서울시인재개발원 쑥쑥어린이집,서울특별시 서초구 남부순환로340길 58 서울특별시인재개발원직장어린이집,02-523-2527,2008-05-01
2022,173,서울특별시,서울시청직장어린이집,서울특별시 중구 서소문로11길 24 5-1번지 서울특별시청직장어린이집,02-775-5491,2000-02-01
2022,174,서울특별시,서울아산병원어린이집,서울특별시 송파구 올림픽로43길 88 (서울특별시 송파구 강동대로13)(풍납동),02-3010-6902,1997-03-29
2022,175,서울특별시,서울아산병원제2어린이집,서울특별시 송파구 강동대로 13,02-2045-3935,2021-02-19
2022,176,서울특별시,서울의료원어린이집,서울특별시 중랑구 신내로 156 (신내동),02-2276-7601,2011-08-03
2022,177,서울특별시,서울주택도시공사 으뜸어린이집,서울특별시 강남구 개포로 621 SH공사 14동 5호(개포동),02-6940-8680,1999-01-12
2022,178,서울특별시,서울지방국세청 우리누리어린이집,서울특별시 종로구 종로5길 86,02 -739 -5100,2020-07-01
2022,179,서울특별시,서울청사푸르미어린이집,서울특별시 종로구 세종로 세종대로 209 서울청사 푸르미어린이집,02-737-7327,2009-08-26
2022,180,서울특별시,서울청사한빛어린이집,서울특별시 종로구 효자로 39 서울청사한빛어린이집 (창성동),02-735-6400,2005-03-15
2022,181,서울특별시,서울테크노파크친친어린이집,"서울특별시 노원구 공릉로 232 (공릉동, 서울과기대 내 서울테크노파크친친 어린이집)",02-944-6100,2017-09-25
2022,182,서울특별시,서울특별시립보라매병원어린이집,서울특별시 동작구 보라매로5길 20 시립보라매병원 본관3층 (신대방동),02-870-2935,2003-09-20
2022,183,서울특별시,서초1삼성어린이집,서울특별시 서초구 서초대로74길 11 삼성전자 內 (서초동),02-2255-2130,2008-10-29
2022,184,서울특별시,서초2삼성어린이집,서울특별시 서초구 서초대로74길 4 삼성생명 서초타워 3층,02-2055-3481,2011-12-14
2022,185,서울특별시,서초구청 직장어린이집,서울특별시 서초구 남부순환로347길 46 (서초동),02-598-9341,2008-03-05
2022,186,서울특별시,성동구청 무지개 어린이집,서울특별시 성동구 왕십리로 281 (행당동)1층,02-2286-6095,2004-09-01
2022,187,서울특별시,성모어린이집,서울특별시 영등포구 63로 10,02-3779-1970,1998-04-29
2022,188,서울특별시,성북구청직장어린이집,서울특별시 성북구 보문로 168 1층 (삼선동5가),02-2241-4861,2004-08-04
2022,189,서울특별시,세브란스어린이집,서울특별시 서대문구 연대동문길 41 세브란스 어린이집,02-312-7990,2001-02-28
2022,190,서울특별시,세아별어린이집,서울특별시 강남구 영동대로 325 해암빌딩 2층,02-553-7212,2015-03-06
2022,191,서울특별시,솔빛어린이집,서울특별시 강남구 압구정로80길 17 2층,02-6979-1060,2016-03-10
2022,192,서울특별시,송파구청어린이집,서울특별시 송파구 올림픽로 326 (신천동),02-2147-4268,1998-03-02
2022,193,서울특별시,수도방위사령부 한울어린이집,서울특별시 관악구 과천대로 851,02-524-1614,2014-03-19
2022,194,서울특별시,수협아라맘어린이집,서울특별시 송파구 오금로 62,02 -425 -3201,2021-09-07
2022,195,서울특별시,숙명여자대학교어린이집,서울특별시 용산구 청파동2가 청파로47길 100 숙명여자대학교 사회교육관 1층,02-2077-7952,2014-02-27
2022,196,서울특별시,순천향대학교서울병원어린이집,서울특별시 용산구 대사관로34가길 2-18,02-795-1007,2016-04-11
2022,197,서울특별시,숭실대학교어린이집,서울특별시 동작구 상도로67길 20,02-816-4040,2014-02-18
2022,198,서울특별시,신한 신이한이양천 어린이집,서울특별시 양천구 목동동로 10 상가A동 126호,02-2648-7060,2017-02-28
2022,199,서울특별시,신한꿈나무어린이집,서울특별시 중구 을지로2가 삼일대로 358 신한L타워 3층,02-6250-8091,2018-08-31
2022,200,서울특별시,신한신이한이강북어린이집,서울특별시 강북구 도봉로 364 강북금융센터 3층,02-900-7060,2016-11-18
2022,201,서울특별시,신한신이한이송파어린이집,서울특별시 송파구 중대로 68 2층,02-404-7060,2017-02-08
2022,202,서울특별시,아모레퍼시픽 서울어린이집,서울특별시 용산구 한강로2가 한강대로 100 (주)아모레퍼시픽 2층,02-709-5193,2017-12-05
2022,203,서울특별시,아이누리 어린이집,서울특별시 종로구 사직로8길 20 파크팰리스 제1층 제101호,02-6959-7695,2015-02-24
2022,204,서울특별시,아이앤어린이집,서울특별시 강남구 봉은사로68길 35-2,02-6203-5425,2016-09-02
2022,205,서울특별시,아이제일어린이집,서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),02-797-8551,2008-05-21
2022,206,서울특별시,안암동 하나금융그룹 직장어린이집,서울특별시 성북구 안암동5가 안암로 75,02-6380-2782,2013-10-02
2022,207,서울특별시,양지1어린이집,"서울특별시 서초구 샘마을길 73 내곡동, 양지1어린이집",02-577-2091,2006-12-29
2022,208,서울특별시,양지2어린이집,서울특별시 서초구 샘마을길 73,02-3411-3557,2015-01-16
2022,209,서울특별시,양천구청 직장어린이집,서울특별시 양천구 목동동로 81 해누리타운 1층 (신정동),02-2061-0665,2011-02-25
2022,210,서울특별시,엘지유플러스어린이집,서울특별시 용산구 한강로3가 한강대로 32,070-8277-4119,1996-04-18
2022,211,서울특별시,여의도 하나금융그룹 직장어린이집,서울특별시 영등포구 여의나루로 53-1 3층,02-780-3220,2019-04-09
2022,212,서울특별시,여의도순복음어린이집,서울특별시 영등포구 국회대로76길 25 (여의도동),02-785-3927,2006-01-19
2022,213,서울특별시,연세대학교유진어린이집,서울특별시 서대문구 연세로 50 연세대학교 (신촌동),02-2123-8266,2010-03-08
2022,214,서울특별시,영등포경찰서어린이집,서울특별시 영등포구 양평동6가 양평로28라길 9,02-3667-0209,2016-08-29
2022,215,서울특별시,영등포구청직장어린이집,서울특별시 영등포구 당산동3가 선유동1로 80 영등포구청직장어린이집,02-2678-1221,1997-04-01
